,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,average_watts,weighted_average_watts,kilojoules,device_watts,max_watts,workout_type,average_temp
26,2,☁️ Morning toddle,1676.8,2183,2293,0.0,Hike,4547861147,activity_1609497739.tcx,4858962279,2021-01-01T10:42:57Z,2021-01-01T10:42:57Z,(GMT+00:00) Europe/London,0.0,"[52.887488, -1.298539]","[52.887736, -1.298738]",,,United Kingdom,52.887488,-1.298539,0,4,0,2,0,False,False,False,False,followers_only,False,g6779208,False,4858962279,0.768,1.7,True,110.8,128.0,False,True,31.1,30.5,0,0,False,6.0,2265413,1,a4547861147,{oxaIt{|FUz@KbAOj@Qd@_@j@AHWXIFE@EFO?GEABOBOEa@[Sg@OQGYGcA@UEa@Ac@IaAC_ACYCiA?A?DEg@?WFSEQGGCMAi@Ec@EOQyAKk@Ek@YkAAe@HYTID?b@WTGHIZGf@U?@JCh@]NNF|@DJ@PDF@DB@@JA@Rr@A@AAFVNb@?JDJ?PBD?VIBFDD?@RBB?BB@BXDBBPDARjAGVDLAJk@TIJEAEJGAEHMHQEQLAAQPCHUJKNGVL|@DjABD@NBDD?BPPNDAJFBELGHQD@AAJdARHL@FPGRFBN?HTFB?CDABEAKLc@?KDS?DDc@He@,2,,,,,,,,
27,2,Afternoon Activity - HIIT,0.0,1223,1223,0.0,Workout,4545595154,activity_1609435454.tcx,4856527124,2020-12-31T17:24:14Z,2020-12-31T17:24:14Z,(GMT+00:00) Europe/London,0.0,,,,,United Kingdom,,,0,3,0,1,0,True,False,False,False,followers_only,False,,False,4856527124,0.0,0.0,True,114.3,129.0,False,True,,,0,0,False,4.0,2265413,1,a4545595154,,2,,,,,,,,
28,2,☁️ Afternoon Run - slow icey headtorch night-time tier 3 z2,5867.1,1752,1757,19.3,Run,4540397939,activity_1609348533.tcx,4850989907,2020-12-30T17:15:34Z,2020-12-30T17:15:34Z,(GMT+00:00) Europe/London,0.0,"[52.8872, -1.298695]","[52.887366, -1.29845]",,,United Kingdom,52.8872,-1.298695,1,9,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4850989907,3.349,5.1,True,154.2,182.0,False,True,40.8,30.3,1,0,False,52.0,2265413,1,a4540397939,chxaIp|{FRa@LGHBNAFDPAd@Dp@Ej@Bl@XTT\Dt@XL?b@T^f@l@n@f@t@^Zh@l@r@~@|@~@bBvBl@n@DNAFMh@QhABRLN~AbAn@l@TLNBf@RV@JCf@BLIP?D@DJH`@Ap@BpAVnEDnAGnAIb@gAlDQ`A[`Ai@zBGn@@j@G|@AnAKdAOvDGf@KrBe@nGI`AWdBSvCOvEW|CS~AWrASv@i@fBg@~@Qf@[l@Oh@]`Ag@dAIZMRSj@kB`DoAhCfAkCl@gA\aAl@uAfAaCRYlAgCxAaELg@N{@NoAFcAFi@NyA^yFBu@n@mHN{BHy@FcA?_@ZkEP{DDcBJoADg@^{A@KJ_@He@l@gBj@oBBg@AkCY{F@cB\sBPc@DEPIdAe@FIJGVSXo@G}@?uA@e@L{A@m@OiBOm@OoAm@_C[cAs@_Bo@_AUWIEMVg@nBO`@kAvE_@hBCDQGs@k@{@cAi@w@UOi@q@_@c@KGo@w@a@WGKb@R|@n@d@j@Zd@@FAVET{@dDi@zAQZKFUQ_BuBo@q@[Os@g@o@U_@SK?SGc@e@KGQEU?}AP[EQGIGW?GJQ^,2,,,,,,,0.0,
29,2,Afternoon Activity - HIIT,0.0,1274,1274,0.0,Workout,4534990025,activity_1609257597.tcx,4845269514,2020-12-29T15:59:57Z,2020-12-29T15:59:57Z,(GMT+00:00) Europe/London,0.0,,,,,United Kingdom,,,0,3,0,1,0,True,False,False,False,followers_only,False,,False,4845269514,0.0,0.0,True,125.4,143.0,False,True,,,0,0,False,6.0,2265413,1,a4534990025,,2,,,,,,,,
30,2,🌫️ Morning Hike - snow,1118.1,1363,1410,0.0,Hike,4532934672,activity_1609233430.tcx,4843111451,2020-12-29T09:18:22Z,2020-12-29T09:18:22Z,(GMT+00:00) Europe/London,0.0,"[52.887526, -1.298567]","[52.8877, -1.298893]",,,United Kingdom,52.887526,-1.298567,0,3,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4843111451,0.82,1.3,True,95.3,119.0,False,True,31.1,30.5,0,1,False,3.0,2265413,1,a4532934672,yoxaIt{|FAB@GId@ANBOCTYxAM^g@bAa@f@MFQB?AEDI@O@UIc@_@Ua@OiAKa@?a@EO@OIiAGaBGm@Au@MsCM}AS_AEg@GUUgB?OFW\M,2,,,,,,,,
31,2,🌫️ Lunch Ride - chill'ed ride in the cold,47084.4,7195,7741,509.0,Ride,4529745620,garmin_push_6015805107,4839728874,2020-12-28T12:57:41Z,2020-12-28T12:57:41Z,(GMT+00:00) Europe/London,0.0,"[52.887775, -1.298681]","[52.887687, -1.298901]",,,United Kingdom,52.887775,-1.298681,35,13,0,1,0,False,False,False,False,followers_only,False,b6605493,False,4839728874,6.544,13.2,True,158.2,212.0,False,True,137.5,30.1,3,0,False,230.0,2265413,1,a4529745620,q|xaIpd|F}A`@c@Me@m@_A}GiBiHGeBNoC`@}AxA_DRoAKeCaAa@uH`BqPtJoRhJkCb@cEK_@\mGZcEdAaEjBoAnAcM|PsExFk@\o@I}AkC_CgG{@{EiB{FkFyKcCmDkEuEmDaDcAi@oSgDoMaA}Ob@cIwB{CyAeDfAiAHaGwBsIcBi@rBkBjA_A|AEzAbAn[CvHd@xFzDvXLvF]nCcBrFeBhKcAtDgAj@?h@z@rDCrBqBxIiC|WiBjKk@pLa@nDoE~UuBnGeAlFBnUkVhz@o@pA{@AqF}AkBVeAp@mMzP}NrGmFn@KlAvBrx@oBnHgGfNoCfKiC~CcAiAaBsDeBqGgC}LsBiNuA{Fa@_Aa@C{B|@uEdDkHrL_BxBiAdAuEhCc@~AKvEe@tD{FdNgGdGmFlHsIdHGbBhBjMCj@cLzCwHiEcF}AwAwCc@iBuBFYh@Fl@IA?a@Te@bCe@~AoWjCwP\cIWwAcCuCcF_EaZgOmDg@kD|@|A|YnCxv@fDbXO|GoBxLcLhh@gJfUoEtIaBvF_K~l@aEr_@uAhI@n@jAfC|GjLnPvVd[rW~NfK|An@jABlG_AvIn@~FzA\a@dDqKlBqDZSdMzB|CMdF`@nA{@bEgFlIqMbAi@xa@|DJ_@v@{j@S}BqEoUmAqJk@q_@k@{OkAiPk@gAmA}@k@{@gCsFqCqHu@kAoHiC_Fo@aFuBU]?gCUuAk@yAo@o@qEMsCf@w@m@MoAZmI@uEk@_NyGs_@w@iGBuAl@y@dIkGtFeIhGiGhFiMVqBNgGd@aB~FkD|ByCpCkFvDeFlIiEn@fAjArExCzRhExQzC`Gh@OdBqBzAgH|HmQlBeGDgBuAab@c@sSDsAZWjFe@zNsGnDgElG}I~@q@fC_@|FzAl@UzVa{@L_AEwTjAyFnBaGbAsE~CaRp@iMbCqPtBiTxBwJCeC_AoD?a@VQrGg@`JdBxEdEfG|Jv@p@x@@l@_@^q@dFcObAoBdJ_KZI\l@xC`MtFrOfFz`@XdMt@fM[|BuCxHm@xEOfSTtJjAzPt@`HfCrNxD`OdH`c@VHvEaAfPzAxOYrKvB`IS|ZqCtSb@dDgQNwAA{AsAmOqAoGo@iHgCqTO}EEcMWgH[uEgAgEYkC_@oOHqG{BkWWuMiAsMZqXg@}Ys@sJcEo]i@{GN[v@QlCBfCc@xMgH|BmB|A_@jMyGbD_A|Ek@b@j@?tC]dBgBxD[tC@tBlB|H~@tG~@x@bBi@,2,76.6,106.4,,765.6,False,,10.0,0.0
32,2,⛅ Morning Run - stuffed with stuffing and blue cheese,5060.1,1430,1433,2.6,Run,4523049942,activity_1609057380.tcx,4832642078,2020-12-27T08:23:01Z,2020-12-27T08:23:01Z,(GMT+00:00) Europe/London,0.0,"[52.891898, -1.269757]","[52.89163, -1.272488]",,,United Kingdom,52.891898,-1.269757,9,8,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4832642078,3.539,6.4,True,171.0,192.0,False,True,31.3,28.4,9,0,False,73.0,2265413,1,a4523049942,imyaI~~vFBDCDFGJFDN@j@A`@KVSVu@b@IH?FDVJ`@TrA^pAn@|AVz@j@pAHZfAtBNDFE|@}Ab@{A`@o@VQ^e@VUn@cAFANQLEX[JE^CVBv@b@bAbAp@d@LF|@R\@|@Qp@SZUn@y@JGDBNn@NlAVfDHp@P`CJr@NnBJ`AJ~A`@jEFrALdANdCn@`H^c@PKFAZ_@f@Uf@AJERWd@YZWrAwAJCnBiA^O|BwAt@g@f@c@jAw@XW~@c@`@_@l@_@`@Un@Mt@]JOHm@Le@|@oATOvBeAhByBjA}@x@[pA{@bBaBp@qAUPOPc@^q@x@Yd@k@d@i@\QDkB`A]\MTy@~@[V{@h@e@Rk@b@g@|@[lAY^q@f@_@^{AbA_@XQJ_@Zm@d@c@VkA|@oBjAe@`@aA`@c@\u@`@wAdAw@^MPk@P[TSBm@h@YNWRUJECMaAEiEWqDAm@WwDQsDKq@I_AU{Ai@}GWsCQkAIMe@XWHgAr@s@PK@KHy@B]Cu@WUQ}@oAk@[MEG@w@H[Ha@RyAlAk@x@{@zAIRs@hAYl@ORE@KEEEQa@k@_Ak@sB[o@,2,,,,,,,0.0,
33,2,⛅ Morning Hike,1095.8,1123,1123,0.0,Hike,4517131548,activity_1608889525.tcx,4826367061,2020-12-25T09:46:00Z,2020-12-25T09:46:00Z,(GMT+00:00) Europe/London,0.0,"[52.887491, -1.298559]","[52.887708, -1.298746]",,,United Kingdom,52.887491,-1.298559,0,2,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4826367061,0.976,1.5,True,143.5,162.0,False,True,31.1,30.5,0,0,False,16.0,2265413,1,a4517131548,o{xaIhd|Fe@TEPAP|@nFLlADhA?V@LFHEJ?LTxDNhEJh@J^NTXXNFJH`@Fv@a@Vc@HU`@u@DYFM\}B,2,,,,,,,,
34,2,☁️ Afternoon Hike,2278.3,1439,1564,0.0,Hike,4513141776,activity_1608827492.tcx,4822096893,2020-12-24T16:31:50Z,2020-12-24T16:31:50Z,(GMT+00:00) Europe/London,0.0,"[52.88765, -1.298653]","[52.887678, -1.298895]",,,United Kingdom,52.88765,-1.298653,0,1,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4822096893,1.583,2.8,True,117.7,134.0,False,True,31.4,30.5,0,0,False,5.0,2265413,1,a4513141776,chxaI~|{FNc@LEx@Rd@Gv@BXAZDNHh@n@NMH@dAf@VDhB~BHPpBtBJRr@p@bAtADDf@l@XPNT?HKXKh@ING\Y`@cAw@Sk@@CCDVeAk@x@AATIHQ@?IFDEBF@MAAOd@?F@PFL?AL\@B@CNL?EH?Z`@BCDFB?JSHUBEHAHMBWPy@?S[o@_@]g@u@_@]o@}@WUYc@WQUYYg@EAi@i@}@sAOIWYI?SKSCUMUGOJYUGKQSQKw@BWC_@HK?a@GWQGAKF_@n@,2,,,,,,,,
35,2,☁️ Afternoon Hike,1185.0,1189,1204,0.0,Hike,4512205673,activity_1608815283.tcx,4821115781,2020-12-24T13:08:36Z,2020-12-24T13:08:36Z,(GMT+00:00) Europe/London,0.0,"[52.887691, -1.298863]","[52.88769, -1.298935]",,,United Kingdom,52.887691,-1.298863,0,4,0,1,0,False,False,False,False,followers_only,False,g6779208,False,4821115781,0.997,2.6,True,97.7,112.0,False,True,31.1,30.5,0,0,False,2.0,2265413,1,a4512205673,{oxaIt{|FANOl@Ch@Qh@CPQZM^MLUf@QPIB@?UFU@OAWKWQO_@@AOYBAMu@?MGSBWCg@G_@Ao@MmAAkAGc@?m@CYDMGg@@WCGAOFEEOIGEWA?MaAEGKm@Gk@AO@GUkAD[@Eb@O,2,,,,,,,,
